[2025-02-04 01:22:48,077](main) Filepid(/run/user/1000/srv11.pid) exists, but the process is not started! Delete filepid
[2025-02-04 08:57:54,800](main) Filepid(/run/user/1000/srv11.pid) exists, but the process is not started! Delete filepid
[2025-02-04 08:59:34,627](run_tvsrv) Ошибка Инфотабло: возможно нет связи? HTTPConnectionPool(host='127.0.0.1', port=32109): Max retries exceeded with url: /ticket?p=7&t=%D0%9B5 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f43c98525e0>: Failed to establish a new connection: [Errno 111] Connection refused')). 
[2025-02-04 08:59:47,517](run_tvsrv) Ошибка Инфотабло: возможно нет связи? HTTPConnectionPool(host='127.0.0.1', port=32109): Max retries exceeded with url: /ticket?p=7&t=%D0%A05 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f43c98771f0>: Failed to establish a new connection: [Errno 111] Connection refused')). 
[2025-02-04 09:00:01,849](run_tvsrv) Ошибка Инфотабло: возможно нет связи? HTTPConnectionPool(host='127.0.0.1', port=32109): Max retries exceeded with url: /ticket?p=7&t=%D0%9B6 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f43c9852ac0>: Failed to establish a new connection: [Errno 111] Connection refused')). 
[2025-02-04 10:27:06,791](run_tvsrv) Ошибка Инфотабло: возможно нет связи? HTTPConnectionPool(host='127.0.0.1', port=32109): Max retries exceeded with url: /ticket?p=7&t=%D0%A01 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f43c987c280>: Failed to establish a new connection: [Errno 111] Connection refused')). 
[2025-02-04 10:32:28,106](run_tvsrv) Ошибка Инфотабло: возможно нет связи? HTTPConnectionPool(host='127.0.0.1', port=32109): Max retries exceeded with url: /ticket?p=7&t=%D0%A02 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f43c987ce50>: Failed to establish a new connection: [Errno 111] Connection refused')). 
[2025-02-04 11:06:24,616](run_tvsrv) Ошибка Инфотабло: возможно нет связи? HTTPConnectionPool(host='127.0.0.1', port=32109): Max retries exceeded with url: /ticket?p=7&t=%D0%A02 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f43c95c4a60>: Failed to establish a new connection: [Errno 111] Connection refused')). 
[2025-02-04 11:07:57,268](run_tvsrv) Ошибка Инфотабло: возможно нет связи? HTTPConnectionPool(host='127.0.0.1', port=32109): Max retries exceeded with url: /ticket?p=7&t=%D0%A02 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f43c987c940>: Failed to establish a new connection: [Errno 111] Connection refused')). 
[2025-02-04 11:08:59,044](run_tvsrv) Ошибка Инфотабло: возможно нет связи? HTTPConnectionPool(host='127.0.0.1', port=32109): Max retries exceeded with url: /ticket?p=7&t=%D0%A02 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f43c9852d00>: Failed to establish a new connection: [Errno 111] Connection refused')). 
[2025-02-04 11:11:24,003](run_tvsrv) Ошибка Инфотабло: возможно нет связи? HTTPConnectionPool(host='127.0.0.1', port=32109): Max retries exceeded with url: /ticket?p=7&t=%D0%A02 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f43c98bb220>: Failed to establish a new connection: [Errno 111] Connection refused')). 
[2025-02-04 12:00:26,239](run_tvsrv) Ошибка Инфотабло: возможно нет связи? HTTPConnectionPool(host='127.0.0.1', port=32109): Max retries exceeded with url: /ticket?p=7&t=%D0%A02 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f43c95cba60>: Failed to establish a new connection: [Errno 111] Connection refused')). 
[2025-02-04 12:01:08,538](run_tvsrv) Ошибка Инфотабло: возможно нет связи? HTTPConnectionPool(host='127.0.0.1', port=32109): Max retries exceeded with url: /ticket?p=7&t=%D0%A02 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f43c95d0670>: Failed to establish a new connection: [Errno 111] Connection refused')). 
[2025-02-04 12:02:00,246](run_tvsrv) Ошибка Инфотабло: возможно нет связи? HTTPConnectionPool(host='127.0.0.1', port=32109): Max retries exceeded with url: /ticket?p=7&t=%D0%A02 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f43c984eeb0>: Failed to establish a new connection: [Errno 111] Connection refused')). 
[2025-02-04 12:02:56,426](run_tvsrv) Ошибка Инфотабло: возможно нет связи? HTTPConnectionPool(host='127.0.0.1', port=32109): Max retries exceeded with url: /ticket?p=7&t=%D0%A02 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f43c9852d90>: Failed to establish a new connection: [Errno 111] Connection refused')). 
